,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
0,"['one', 'side', 'of', 'the', 'armed', 'conflicts', 'is', 'composed', 'mainly', 'of', 'the', 'sudanese', 'military', 'and', 'the', 'janjaweed', ',', 'a', 'sudanese', 'militia', 'group', 'recruited', 'mostly', 'from', 'the', 'afro-arab', 'abbala', 'tribes', 'of', 'the', 'northern', 'rizeigat', 'region', 'in', 'sudan', '.']","[   42   424     9     6  1655  5506    14   778  1037     9     6 14621
   375    10     6     1     7    12 14621  8312   149  6821   774    26
     6     1     1  2673     9     6   363     1   315    11  4611     8]","['one', 'side', 'of', 'the', 'armed', 'conflicts', 'is', 'mainly', 'sudanese', 'military', 'and', 'the', 'janjaweed', ',', 'which', 'recruited', 'from', 'the', 'afro-arab', 'abbala', 'tribes', '.']","[   42   424     9     6  1655  5506    14  1037 14621   375    10     6
     1     7    35  6821    26     6     1     1  2673     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'which', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[ 2  2  2  2  2  2  2  3  2  3  3  2  2  2  2  2  2 35  3  3  3  3  2  3
  2  2  2  2  2  3  3  3  3  3  3  3  5]","[('one', 'CD'), ('side', 'NN'), ('of', 'IN'), ('the', 'DT'), ('armed', 'JJ'), ('conflicts', 'NNS'), ('is', 'VBZ'), ('composed', 'VBN'), ('mainly', 'RB'), ('of', 'IN'), ('the', 'DT'), ('sudanese', 'JJ'), ('military', 'JJ'), ('and', 'CC'), ('the', 'DT'), ('janjaweed', 'NN'), (',', ','), ('a', 'DT'), ('sudanese', 'JJ'), ('militia', 'NN'), ('group', 'NN'), ('recruited', 'VBD'), ('mostly', 'RB'), ('from', 'IN'), ('the', 'DT'), ('afro-arab', 'JJ'), ('abbala', 'NN'), ('tribes', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('northern', 'JJ'), ('rizeigat', 'JJ'), ('region', 'NN'), ('in', 'IN'), ('sudan', 'NN'), ('.', '.')]","[37, 19, 40, 16, 13, 29, 15, 8, 27, 40, 16, 13, 13, 33, 16, 19, 9, 16, 13, 19, 19, 6, 27, 40, 16, 13, 19, 29, 40, 16, 13, 13, 19, 40, 19, 24]"
1,"['jeddah', 'is', 'the', 'principal', 'gateway', 'to', 'mecca', ',', 'islam', ""'s"", 'holiest', 'city', ',', 'which', 'able-bodied', 'muslims', 'are', 'required', 'to', 'visit', 'at', 'least', 'once', 'in', 'their', 'lifetime', '.']","[    1    14     6  1388  7946    13  7970     7  3150    23 17667    80
     7    35 23862  3711    32   918    13  1989    29   502   478    11
    49  3213     8]","['jeddah', 'is', 'the', 'main', 'entrance', 'to', 'mecca', ',', 'islam', ""'s"", 'holiest', 'city', ',', 'which', 'pure', 'muslims', 'are', 'required', 'to', 'visit', 'at', 'least', 'once', 'in', 'their', 'lifetime', '.']","[    1    14     6   230  3050    13  7970     7  3150    23 17667    80
     7    35  3350  3711    32   918    13  1989    29   502   478    11
    49  3213     8]","['KEEP', 'KEEP', 'KEEP', 'main', 'entrance', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'pure', 'DEL', 'STOP']","[   2    2    2  230 3050    3    3    2    2    2    2    2    2    2
    2    2 3350    3    5]","[('jeddah', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('principal', 'JJ'), ('gateway', 'NN'), ('to', 'TO'), ('mecca', 'VB'), (',', ','), ('islam', 'NN'), (""'s"", 'POS'), ('holiest', 'JJS'), ('city', 'NN'), (',', ','), ('which', 'WDT'), ('able-bodied', 'JJ'), ('muslims', 'NNS'), ('are', 'VBP'), ('required', 'VBN'), ('to', 'TO'), ('visit', 'VB'), ('at', 'IN'), ('least', 'JJS'), ('once', 'RB'), ('in', 'IN'), ('their', 'PRP$'), ('lifetime', 'NN'), ('.', '.')]","[19, 15, 16, 13, 19, 25, 31, 9, 19, 23, 45, 19, 9, 12, 13, 29, 11, 8, 25, 31, 40, 45, 27, 40, 4, 19, 24]"
2,"['the', 'great', 'dark', 'spot', 'is', 'thought', 'to', 'represent', 'a', 'hole', 'in', 'the', 'methane', 'cloud', 'deck', 'of', 'neptune', '.']","[   6  202  999 2943   14  653   13 1878   12 2792   11    6 6494 2580
 4501    9 4227    8]","['the', 'great', 'dark', 'spot', 'is', 'thought', 'to', 'be', 'a', 'hole', 'in', 'the', 'methane', 'cloud', 'deck', 'of', 'neptune', '.']","[   6  202  999 2943   14  653   13   36   12 2792   11    6 6494 2580
 4501    9 4227    8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'be', 'DEL', 'STOP']",[ 2  2  2  2  2  2  2 36  3  5],"[('the', 'DT'), ('great', 'JJ'), ('dark', 'JJ'), ('spot', 'NN'), ('is', 'VBZ'), ('thought', 'VBN'), ('to', 'TO'), ('represent', 'VB'), ('a', 'DT'), ('hole', 'NN'), ('in', 'IN'), ('the', 'DT'), ('methane', 'NN'), ('cloud', 'NN'), ('deck', 'NN'), ('of', 'IN'), ('neptune', 'NN'), ('.', '.')]","[16, 13, 13, 19, 15, 8, 25, 31, 16, 19, 40, 16, 19, 19, 19, 40, 19, 24]"
3,"['his', 'next', 'work', ',', 'saturday', ',', 'follows', 'an', 'especially', 'eventful', 'day', 'in', 'the', 'life', 'of', 'a', 'successful', 'neurosurgeon', '.']","[  28  371  140    7 3345    7 1462   33  612    1  183   11    6  179
    9   12  731    1    8]","['his', 'next', 'work', ',', 'saturday', ',', 'follows', 'a', 'fun', 'day', 'in', 'the', 'life', 'of', 'a', 'good', 'doctor', '.']","[  28  371  140    7 3345    7 1462   12 6638  183   11    6  179    9
   12  575 1135    8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'a', 'fun', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'good', 'doctor', 'DEL', 'DEL', 'STOP']","[   2    2    2    2    2    2    2   12 6638    3    3    3    2    2
    2    2    2    2  575 1135    3    3    5]","[('his', 'PRP$'), ('next', 'JJ'), ('work', 'NN'), (',', ','), ('saturday', 'JJ'), (',', ','), ('follows', 'VBZ'), ('an', 'DT'), ('especially', 'RB'), ('eventful', 'JJ'), ('day', 'NN'), ('in', 'IN'), ('the', 'DT'), ('life', 'NN'), ('of', 'IN'), ('a', 'DT'), ('successful', 'JJ'), ('neurosurgeon', 'NN'), ('.', '.')]","[4, 13, 19, 9, 13, 9, 15, 16, 27, 13, 19, 40, 16, 19, 40, 16, 13, 19, 24]"
4,"['the', 'tarantula', ',', 'the', 'trickster', 'character', ',', 'spun', 'a', 'black', 'cord', 'and', ',', 'attaching', 'it', 'to', 'the', 'ball', ',', 'crawled', 'away', 'fast', 'to', 'the', 'east', ',', 'pulling', 'on', 'the', 'cord', 'with', 'all', 'his', 'strength', '.']","[    6 27205     7     6     1   534     7 13194    12   340  8497    10
     7 29947    31    13     6  1138     7     1   671  2613    13     6
   201     7 10980    19     6  8497    22    66    28  1649     8]","['the', 'tarantula', 'spun', 'a', 'black', 'cord', 'and', 'crawled', 'away', 'fast', 'to', 'the', 'east', 'while', 'pulling', 'on', 'the', 'cord', 'with', 'its', 'strength', '.']","[    6 27205 13194    12   340  8497    10     1   671  2613    13     6
   201    87 10980    19     6  8497    22    46  1649     8]","['KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'while', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'its', 'DEL', 'DEL', 'STOP']","[ 2  2  3  3  3  3  3  2  2  2  2  2  3  3  3  3  3  3  3  2  2  2  2  2
  2 87  3  2  2  2  2  2 46  3  3  5]","[('the', 'DT'), ('tarantula', 'NN'), (',', ','), ('the', 'DT'), ('trickster', 'NN'), ('character', 'NN'), (',', ','), ('spun', 'VB'), ('a', 'DT'), ('black', 'JJ'), ('cord', 'NN'), ('and', 'CC'), (',', ','), ('attaching', 'VBG'), ('it', 'PRP'), ('to', 'TO'), ('the', 'DT'), ('ball', 'NN'), (',', ','), ('crawled', 'VBD'), ('away', 'RB'), ('fast', 'RB'), ('to', 'TO'), ('the', 'DT'), ('east', 'NN'), (',', ','), ('pulling', 'VBG'), ('on', 'IN'), ('the', 'DT'), ('cord', 'NN'), ('with', 'IN'), ('all', 'PDT'), ('his', 'PRP$'), ('strength', 'NN'), ('.', '.')]","[16, 19, 9, 16, 19, 19, 9, 31, 16, 13, 19, 33, 9, 5, 38, 25, 16, 19, 9, 6, 27, 27, 25, 16, 19, 9, 5, 40, 16, 19, 40, 34, 4, 19, 24]"
5,"['there', 'he', 'died', 'six', 'weeks', 'later', ',', 'on', '13', 'january', '888', '.']",[ 77  30 236 303 970  89   7  19 489 199   1   8],"['here', 'he', 'died', 'six', 'weeks', 'later', ',', 'on', '13', 'january', '888', '.']",[1185   30  236  303  970   89    7   19  489  199    1    8],"['here', 'DEL', 'STOP']",[1185    3    5],"[('there', 'RB'), ('he', 'PRP'), ('died', 'VBD'), ('six', 'CD'), ('weeks', 'NNS'), ('later', 'RB'), (',', ','), ('on', 'IN'), ('13', 'CD'), ('january', 'JJ'), ('888', 'CD'), ('.', '.')]","[27, 38, 6, 37, 29, 27, 9, 40, 37, 13, 37, 24]"
6,"['they', 'are', 'culturally', 'akin', 'to', 'the', 'coastal', 'peoples', 'of', 'papua', 'new', 'guinea', '.']","[   54    32  9644 15146    13     6  2112  3339     9  9897    57  3342
     8]","['they', 'are', 'similar', 'to', 'the', 'coastal', 'peoples', 'of', 'papua', 'new', 'guinea', '.']",[  54   32  349   13    6 2112 3339    9 9897   57 3342    8],"['KEEP', 'KEEP', 'similar', 'DEL', 'DEL', 'STOP']",[  2   2 349   3   3   5],"[('they', 'PRP'), ('are', 'VBP'), ('culturally', 'RB'), ('akin', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('coastal', 'JJ'), ('peoples', 'NNS'), ('of', 'IN'), ('papua', 'JJ'), ('new', 'JJ'), ('guinea', 'NN'), ('.', '.')]","[38, 11, 27, 13, 25, 16, 13, 29, 40, 13, 13, 19, 24]"
7,"['since', '2000', ',', 'the', 'recipient', 'of', 'the', 'kate', 'greenaway', 'medal', 'has', 'also', 'been', 'presented', 'with', 'the', 'colin', 'mears', 'award', 'to', 'the', 'value', 'of', '£', '5000', '.']","[  127   544     7     6  4818     9     6  6743     1  1029    43    40
    59  1317    22     6  8817     1   348    13     6  1236     9     1
 13370     8]","['since', '2000', ',', 'the', 'winner', 'of', 'the', 'kate', 'greenaway', 'medal', 'has', 'also', 'been', 'given', 'the', 'colin', 'mears', 'award', ',', 'valued', 'at', '$', '5000', '.']","[  127   544     7     6  1855     9     6  6743     1  1029    43    40
    59   284     6  8817     1   348     7  8036    29   408 13370     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'winner', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'given', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', ',', 'valued', 'at', '$', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   2    2    2    2 1855    3    2    2    2    2    2    2    2    2
  284    3    3    2    2    2    2    7 8036   29  408    3    3    3
    3    3    5]","[('since', 'IN'), ('2000', 'CD'), (',', ','), ('the', 'DT'), ('recipient', 'NN'), ('of', 'IN'), ('the', 'DT'), ('kate', 'NN'), ('greenaway', 'NN'), ('medal', 'NN'), ('has', 'VBZ'), ('also', 'RB'), ('been', 'VBN'), ('presented', 'VBN'), ('with', 'IN'), ('the', 'DT'), ('colin', 'NN'), ('mears', 'VBZ'), ('award', 'RB'), ('to', 'TO'), ('the', 'DT'), ('value', 'NN'), ('of', 'IN'), ('£', 'JJ'), ('5000', 'CD'), ('.', '.')]","[40, 37, 9, 16, 19, 40, 16, 19, 19, 19, 15, 27, 8, 8, 40, 16, 19, 15, 27, 25, 16, 19, 40, 13, 37, 24]"
8,"['following', 'the', 'drummers', 'are', 'dancers', ',', 'who', 'often', 'play', 'the', 'sogo', '-lrb-', 'a', 'tiny', 'drum', 'that', 'makes', 'almost', 'no', 'sound', '-rrb-', 'and', 'tend', 'to', 'have', 'more', 'elaborate', '—', 'even', 'acrobatic', '—', 'choreography', '.']","[  157     6 28913    32  5571     7    56   124   354     6     1     1
    12  4365  4540    24  1143   558   113   770     1    10  2788    13
    44    68  5588     1   280 25074     1 11546     8]","['after', 'the', 'drummers', 'come', 'the', 'lively', 'dancers', 'who', 'often', 'play', 'a', 'small', 'quiet', 'drum', 'called', 'a', 'sogo', '.']","[   50     6 28913   836     6 14542  5571    56   124   354    12   168
  5402  4540    91    12     1     8]","['after', 'DEL', 'KEEP', 'KEEP', 'come', 'the', 'lively', 'DEL', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'KEEP', 'small', 'quiet', 'DEL', 'KEEP', 'called', 'a', 'sogo', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']","[   50     3     2     2   836     6 14542     3     2     3     2     2
     2     3     3     3     2   168  5402     3     2    91    12     1
     3     3     3     3     3     3     3     3     3     3     3     3
     3     3     3     3     3     5]","[('following', 'VBG'), ('the', 'DT'), ('drummers', 'NNS'), ('are', 'VBP'), ('dancers', 'NNS'), (',', ','), ('who', 'WP'), ('often', 'RB'), ('play', 'VBP'), ('the', 'DT'), ('sogo', 'NN'), ('-lrb-', 'VBZ'), ('a', 'DT'), ('tiny', 'JJ'), ('drum', 'NN'), ('that', 'WDT'), ('makes', 'VBZ'), ('almost', 'RB'), ('no', 'DT'), ('sound', 'NN'), ('-rrb-', 'RB'), ('and', 'CC'), ('tend', 'VBP'), ('to', 'TO'), ('have', 'VB'), ('more', 'JJR'), ('elaborate', 'JJ'), ('—', 'NNP'), ('even', 'RB'), ('acrobatic', 'JJ'), ('—', 'NN'), ('choreography', 'NN'), ('.', '.')]","[5, 16, 29, 11, 29, 9, 14, 27, 11, 16, 19, 15, 16, 13, 19, 12, 15, 27, 16, 19, 27, 33, 11, 25, 31, 46, 13, 30, 27, 13, 19, 19, 24]"
9,"['the', 'spacecraft', 'consists', 'of', 'two', 'main', 'elements', ':', 'the', 'nasa', 'cassini', 'orbiter', ',', 'named', 'after', 'the', 'italian-french', 'astronomer', 'giovanni', 'domenico', 'cassini', ',', 'and', 'the', 'esa', 'huygens', 'probe', ',', 'named', 'after', 'the', 'dutch', 'astronomer', ',', 'mathematician', 'and', 'physicist', 'christiaan', 'huygens', '.']","[    6  4534   965     9    55   230   692    38     6  4418 14824 17121
     7   163    50     6     1  5129  4339 18975 14824     7    10     6
 27874 25468 10022     7   163    50     6   938  5129     7  5139    10
  5076     1 25468     8]","['the', 'nasa', 'cassini', 'orbiter', ',', 'named', 'after', 'the', 'italian-french', 'astronomer', 'giovanni', 'domenico', 'cassini', ',', 'and', 'the', 'esa', 'huygens', 'probe', ',', 'named', 'after', 'the', 'dutch', 'astronomer', ',', 'mathematician', 'and', 'physicist', 'christiaan', 'huygens', 'are', 'the', 'two', 'main', 'elements', 'in', 'space', 'craft', '.']","[    6  4418 14824 17121     7   163    50     6     1  5129  4339 18975
 14824     7    10     6 27874 25468 10022     7   163    50     6   938
  5129     7  5139    10  5076     1 25468    32     6    55   230   692
    11   542  7081     8]","['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'are', 'the', 'two', 'main', 'elements', 'in', 'space', 'craft', 'STOP']","[   3    3    3    3    3    3    3    3    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2   32    6   55
  230  692   11  542 7081    5]","[('the', 'DT'), ('spacecraft', 'NN'), ('consists', 'VBZ'), ('of', 'IN'), ('two', 'CD'), ('main', 'JJ'), ('elements', 'NNS'), (':', ':'), ('the', 'DT'), ('nasa', 'JJ'), ('cassini', 'NN'), ('orbiter', 'NN'), (',', ','), ('named', 'VBN'), ('after', 'IN'), ('the', 'DT'), ('italian-french', 'JJ'), ('astronomer', 'NN'), ('giovanni', 'NN'), ('domenico', 'NN'), ('cassini', 'NN'), (',', ','), ('and', 'CC'), ('the', 'DT'), ('esa', 'NN'), ('huygens', 'VBZ'), ('probe', 'NN'), (',', ','), ('named', 'VBN'), ('after', 'IN'), ('the', 'DT'), ('dutch', 'JJ'), ('astronomer', 'NN'), (',', ','), ('mathematician', 'JJ'), ('and', 'CC'), ('physicist', 'JJ'), ('christiaan', 'NN'), ('huygens', 'NNS'), ('.', '.')]","[16, 19, 15, 40, 37, 13, 29, 28, 16, 13, 19, 19, 9, 8, 40, 16, 13, 19, 19, 19, 19, 9, 33, 16, 19, 15, 19, 9, 8, 40, 16, 13, 19, 9, 13, 33, 13, 19, 29, 24]"
